book,chapter,testament
Revelation,13,new
Revelation,14,new
Revelation,15,new
Revelation,16,new
Revelation,17,new
Revelation,18,new
Revelation,19,new
Revelation,20,new
Revelation,21,new
Revelation,22,new
